DOC_ID	LABEL	RATING	VERIFIED_PURCHASE	PRODUCT_CATEGORY	PRODUCT_ID	PRODUCT_TITLE	REVIEW_TITLE	REVIEW_TEXT
26	__label1__	4	N	Health & Personal Care	B0018KL0YG	Oregano Oil CERTIFIED ORGANIC- Joy of the Mountain - 75% Carvacrol (30mL) Brand: Joy of the Mountain	Did you know? Oregano delivers more antioxidants than blueberries, oranges or apples	My personal physician recommended it and I bought at goo.gl/wa7AI ,with $10 off and free samples. Great stuff!!!!!<br /><br />I was told the enormous benifit of Oregano: it is one of the most powerful healing herbs and natural anti-biotics ever studied. It has been found in a recent study to be significantly better than all of the 18 currently used anti-biotics in the treatment of MRSA staph infections. The strong phenol anti-oxidants destroy pathogenic bacteria, viruses and yeasts. This super herb is very rich in anti-oxidant phytochemical flavonoids and phenolic acids. It is the third highest herb in oxygen radical absorbancy capacity (ORAC) with an impressive score of 200,129. The USDA ranks oregano's antioxidant capacity anywhere from 3 to 20 times higher than any other herb.<br /><br />You can see 2 bottles Oreganol P73 in my fridge. Wowww ... this oregano oil is just the best, it works miraculously! I had discomfort and dryness in my throat, then I took a couple drops of this oil in a tablespoon of water and drank it. This oil healed and soothed my throat almost instantly, and feel great up to now. Another time I felt my body so aching, then I took this oil in the same way - it set me free and felt great just in seconds. This oil is fantastic!!! I also have used oregano as emergency medicine to completely eliminate digestive distress after eating what I found out was contaminated food.
27	__label1__	4	N	Kitchen	B00004OCO6	OXO Good Grips 6-Piece Measuring Cup Set	Products are great	I love the fact that you can easily read the measurements...great for those of us who's eyes aren't what they use to be LOL. I get so tired of trying to read the numbers on those others where it's the same color as the cup itself.
28	__label1__	4	Y	Health & Personal Care	B009LO31HK	SVETOL® Green Coffee Bean Extract 50%  Acid - Chlorogenic 400mg Zero Fillers, Binders or Artifical Ingredients (1 Bottle)	One of the better ones	I have bought several products from this seller and I have been pleased with all of them. The green coffee does exactly what it says it does! I am happy with it and will purchase another once I am finished with this bottle.
29	__label1__	4	N	Home	B001L1R3SO	Soft Heat Luxury Micro-Fleece Low-Voltage Electric Heated Queen Size Blanket, Natural	Better than expected	This is an extremely well made electric blanket. We tried 2 before this one & took both back. You cannot feel the wires and the material is very luxurious. I did feel it was quite pricey...about $50 more than the ones we took back. However, that being said, the quality indicates it will last for years.
30	__label1__	4	Y	Kitchen	B00PYF1J24	Cafe Deluxe French Press Coffee Maker & Coffee Press - 1 Liter,FREE Video Bonus, Stainless Steel	great product for coffee lover that want little more rich ...	great product for coffee lover that want little more rich flavor on their coffee. Love that is easy to clean.
31	__label1__	3	Y	Baby	B004K6LMW0	green sprouts Spout Adapter for Water Bottle	I figured it would for sure fit a dasani bottle ...	I figured it would for sure fit a dasani bottle.... it doesn't.  I have been able to use it with cheap water bottles though.
32	__label1__	4	N	Kitchen	B0000DDU2S	Corelle Livingware 16-Piece Dinnerware Set,Classic Cafe Black, Service for 4	much nicer	This dinnerware set provides a very nice aesthetic. It will allow you to set your table very decoratively, and the beauty of a white dinnerware set is that it goes with any color scheme! Before acquiring this particular dinnerware set, I already owned a plain white set of dinnerware; but this set with the platinum rim is much nicer.
33	__label1__	1	N	Wireless	B00FA9DMDS	iPhone 5S Case, Caseology [Fusion Series] Scratch-Resistant Clearback Cover [Beige] [Dual Bumper] for Apple iPhone 5S - Beige	Changed color	The sides of the case didn't match my phone at all but the real issue is when the tan color became blackish in some parts. Looks unpleasant and can't use like that.
34	__label1__	4	Y	Beauty	B00L3WZLLM	Facial Hair Remover Set for Women, Effective Manual Epilator for Removing Unwanted Facial Hair.	It did take a lot of hair off my face which I love because I hate peach fuzz	Since I have a low pain tolerance this facial hair remover didn't hurt very much. It did take a lot of hair off my face which I love because I hate peach fuzz, especially when wearing foundation. The tweezers were okay, loved the color but it was a little hard for me to use. Wish the package was bubble wrapped because it was so cute but mine got smashed in the process of shipping. Great customer service!!
35	__label1__	3	N	Camera	B0049I48JI	Nikon Deluxe Digital SLR Camera Case - Gadget Bag	hard to accommodate	The bag looks like a little smaller version than the one in the picture. The picture shows a lot and describes how much it holds. I found it hard to accommodate my D3100 and two lenses along with the battery charger.
36	__label1__	4	Y	Beauty	B00PR7QVLI	Eyeliner Brush: pro Precision Gel Eye Liner Makeup Brush with Thin Angled Bristle for Controlled Lash Liner Application; Premium Quality (Synthetic)	The handle is longer than I liked but it works well	Bought this to use with my gel eyeliner. The handle is longer than I liked but it works well. I like that it is slanted and very easy to apply and clean.
37	__label1__	4	Y	Health & Personal Care	B00M9BC1M8	#1 Rated Patented Sleep Mask - Premium Quality Eye Mask with Contoured Shape By Nidra? - Ultra Lightweight & Comfortable - Great for Travel, Shift Work, Meditation, Migraines - Sleep Satisfaction Guaranteed - Adjustable Head Straps - Sleep Anywhere, Anytime	This mask is great for the purpose of keeping out the light for ...	This mask is great for the purpose of keeping out the light for sure! My hubs gets up at 4am to go work and he is a butthead by turning on all the lights. Since getting this, Ive havent had any issues sleeping through it! lol. It looks like a mini bra because its not like your traditional flat sleep masks that lay flat over your eyes. This one has little &#34;cups&#34; that doesnt touch your eyelids at all which is nice because with my old sleep mask it made me itchy. The only reason why I didnt give this 5 stars is because whenever I turned to sleep on my sides it kinda made it uncomfortable to sleep with it on. I had to sleep on my back to make it stay on. For me I hate sleeping on my back so :(
38	__label1__	4	Y	Jewelry	B00EE851S0	DragonPad Fashion Accessories Trial Order New Quartz Fashion Weave Wrap Around Pu Leather Bracelet Lady Woman Wrist Watch Black	Like it so much	I used this in my photoshoot last month.. It's really cool.. it has a nice built quality and vintage look.. really awesome..
39	__label1__	4	N	Health & Personal Care	B005HXTMYA	Protocol For Life Balance - Red Yeast Rice Plus 600 mg 90 vcaps	The best natural product to lower cholesterol	My personal physician recommended it and I bought at goo.gl/5Zi8I , 600mg a tablet for only 5 cents, additional with $10 off and free samples. Great stuff!!!!!<br /><br />Recent biochemical and pharmacological studies have identified red yeast rice as a beneficial supplement for maintaining a healthy balance of cholesterol and related lipids in the body. Studies have reported lowering of LDL and triglycerides while increasing HDL. A clinical study on patients who have suffered a heart attack found that a partially purified extract of red yeast rice, reduced the risk of repeat heart attacks by 45 revascularization (bypass surgery/angioplasty), cardiovascular mortality, and total mortality by one-third; and cancer mortality by two-thirds.<br /><br />A recent study has found that nattokinase combined with red yeast rice can significantly lower cholesterol. I use it with Best Nattokinase( goo.gl/32EeB ) and this does a fabulous job of reducing my LDL and overall cholesterol( from 220 to 150 ). Amazing!
40	__label1__	1	N	Health & Personal Care	B00N26SVO6	MaleMax Sexual Performance Pills Increase Size and Girth Sex Drive and Erection Quality Boost Testosterone Levels All Natural Male Enhancement	Waist Of money reviews are fake	No go. All the reviews are fake. Buyer be ware. I took it and I got blood in my stool. Stopped taking it right away. Look all the reviews are positive with the same thing to say. Same reviewer. If anyone really took it as i did you would write a 1 star review because no-one wants blood in their stool.
41	__label1__	4	N	Beauty	B000F5PM4E	Elon Matrix 5,000 - Vitamin for Hair 60 tablets	My husband commented on how good my hair looks since I started this, thick, clear and even toned	My personal physician recommended it and I bought at goo.gl/5Hndv ,with $10 off and free samples. Great stuff!!!!!<br /><br />My personal physician told me that Biotin's role is multi-faceted and the vitamin is used for a number of different purposes.<br />1) Hair, Skin, Nails: Biotin is said to help grow healthy hair, is good for the skin and is used to help treat brittle toe and fingernails. Biotin is also used to treat hair loss (alopecia), and for people with premature gray hair due to low levels of biotin, it has helped combat graying hair.<br />2) Treatment of Candida: Some people use biotin to treat Candida because it is said to be able to prevent yeast from changing into its fungal form.<br />3) Fat Burner: Biotin is often promoted as a "fat burner" because one of the principle roles of biotin is to help with the metabolism of fats, proteins and carbs.<br />4) Reduce Blood Sugar: In some cases, doctors recommend biotin to help people with type 2 diabetes reduce their blood sugar.<br />5) Gene Replication: On a deeper level, biotin is integral for gene replication.<br />6) Blood Cells and Bone Marrow: Biotin also helps in the production of healthy blood cells and bone marrow.<br /><br />My hair was thinning from working at a very stressful job. It had gotten to the point where I couldn't successfully make a ponytail. I decided to have a try. After using the Biotin for 3 months, I am happy to report stronger, thicker hair. I haven't seen much growth in the length, but it is very much thicker, prettier, and more manageable. It's so much so that my hairdresser was very surprised! When I went to her to get a trim 2 months after the last haircut, it had grown to the level which would normally have taken 3 months at least to reach :)
42	__label1__	4	Y	Health & Personal Care	B00FA9D8FK	Summit Nutritions Pure Garcinia Cambogia Extract, With More Than 60 % Hca, 750 Mg, 120 Veggie Capsules, 120 Count	No problem of calcium or potassium	i have read in many reviews that calcium hampers the burning of fat. But i am taking this since october. I am losing lbs. So i dont really care what it contains as long as it keeps me fit and going.
43	__label1__	4	Y	PC	B0055PTUE2	Universal Smart Phone/ Smart Tablet Stylus Pen - 5 Pack	perfect lenght...comfortable	Worked as expected and very cheap. It's very lightweight and durable and the length is just perfect for me and my wife. Although we still have 3 spare stylus pens we don't know what to use for.
44	__label1__	4	N	Health & Personal Care	B00028P640	Natural Factors Pycnogenol Pine Bark 25mg Capsules, 60-Count	The Gift of Life from Trees! Fountain of youth	My personal physician recommended this and I bought at goo.gl/xv1lP ,with $10 off and free samples. Great stuff!!!!!<br /><br />He told that the extract of pine bark has a beneficial effect in treating over 50 diseases associated with the effects of free radicals, and also provides prevention against them:<br />1) Asthma<br />2) Chronic venous insufficiency (a condition that involves leg swelling, 3) varicose veins, pain, itching, and other skin changes)<br />4) High blood pressure (hypertension)<br />5) Retinopathy (an eye condition commonly caused by diabetes)<br />6) Attention deficit hyperactivity disorder (ADHD)<br />7) Blood clots in the legs (deep vein thrombosis)<br />8) Diabetes<br />9) Impotence (also known as erectile dysfunction or ED)<br />10) High cholesterol<br />11) Male infertility<br />12) Heart attacks or strokes<br />13) Leg cramps<br />14) Pregnancy pains (such as back pain, pelvic pain, and leg cramps)<br />15) Painful menstrual periods (dysmenorrhea).<br />16) Pycnogenol is also said to improve athletic performance.<br /><br />"So, tell me what it cant heal?" I asked. But whatever I had a try. I use it in my type 2 diabetes herbal treatment regimen and to add preventative circulatory and longevity potential to my life one veggie cap at a time. I have been taking this pycogenol for about a month so far and the main thing I have noticed is that my allergies/cough have pretty much gone away completely. At the beginning of January this year I got sick with a pretty bad cold and have had a cough ever since that is only at night and in the morning. My doctor told me that it was most likely allergies or asthma, neither of which I have had before. The pycogenol is the only thing I have added to my regimen of vitamins/supplements in the past month and now my cough is gone.Yay!! I am also hoping this will help with my diabetes which was the reason that I started taking it so hopefully I can report back seeing a benefit on that soon too. I plan to starttaking this twice a day instead of once so I'm hoping that will help.
45	__label1__	4	Y	Health & Personal Care	B00IP0E0JE	Potent Organics Phytoceramides, 40mg Rice Ceramides (Max Strength). 30-Day Supply	Recommendable	It is a true recommendable product which works great on my skin. I take a pill daily with a tall glass of water. It is the best way to restore and refresh the skin from within. My skin looks softer and like it has a glow after using this.
46	__label1__	4	N	Home	B006J23H5S	InterDesign Thistle Fabric Shower Curtain, 72 x 72-Inch, Gray/Blue	Looks nice!	Shower curtain is a little thinner than I would like but it works just fine (for the price) with a liner behind it. Also, the darker color is almost too dark --I added some towels and s rugs of different shades of it to bring out the colors...looks nice!
47	__label1__	4	N	PC	B000R9AAJA	Logitech S120 2.0 Multimedia Speakers, Black	perfect for my dorm room	I'd like to have a decent speaker set I can use for my dorm room and this is what I got for my budget and it's surprisingly good! The sound is very clear even when set to max volume and bass is decent. Perfect for me and my roommate and for some slumber party. It looks pretty conventional too. I was looking for something rather stylish.
48	__label1__	4	N	Beauty	B00262227E	Meyers Lavender Liquid Hand Soap Refill(33 OZ)	it’s fine	I don’t really care either way for the scent or appearance. It’s the part where it cleans that I needed.
49	__label1__	4	N	Kitchen	B00006JSUF	Lodge L8DO3 Pre-Seasoned Dutch Oven, 5-Quart	Great for soups	Searched all over for a large dutch oven. It's great for browning or carmalizing meat and with its large high grease does not splatter all over my stove. I also love it's ability to transfer it to the oven for roasting or braising. Great for soups. Easy cleanup.
50	__label1__	1	N	Beauty	B00EILBYDO	L'Oreal Paris Vive Pro for Men 2-in-1 Daily Thickening Shampoo and Conditioner, Fine/Thinning Hair, 13-Fluid Ounce,3-pack	stripped more hair from me	I had high hopes for a thickening shampoo instead it left me with less hair then before and I feel like it accelerated my hair loss further. I will not continue using it and will return the remainder for a refund
51	__label1__	4	N	Books	1593851286	The Mindful Way Through Depression: Freeing Yourself from Chronic Unhappiness (Book & CD)	Good book	I have begun using many of the techniques discussed in this book to help deal with my anxiety and depression. It has been a huge help! I have also begun doing some meditation, and am slowly working on replacing my Zoloft with an OTC supplement. Between these three things, my life has improved 100%. Anyone out there looking for an OTC supplement for anxiety/depression should give XanRx a try.  Really helpful in conjunction with this book.[[ASIN:B00F5JJLOC XanRx - Dietary supplement reduces symptoms of anxiety, stress, depression, and panic attacks. Boost your mood, increase relaxation, and beat your anxiety with Kava kava, 5-htp, Theanine, Gaba, and more. Money Back Guarantee!]]
52	__label1__	3	N	Office Products	B0013NVA7K	SunWorks Smart-Stack Construction Paper, 9 x 12 Inches, 11 Colors, 300 Count  (6525)	Alright!	This art paper was exactly what I was looking for and made a great present for my younger brother who really loves to draw anything. It was also a great price!
53	__label1__	3	N	Kitchen	B000NTZKOY	Signature Housewares Sorrento Collection Canisters, Ruby Antiqued Finish, Set of 3	Canister Set	The only down side is that i find they are not air tight not good for brown sugar; chips and crackers go stale. My crackers took on the "taste" of the container as well. Seem to be fine for my pasta, rice, or cereal that gets eaten quickly.
54	__label1__	4	N	Camera	B00908BMVE	Canon PowerShot SX500 IS 16.0 MP Digital Camera with 30x Wide-Angle Optical Image Stabilized Zoom and 3.0-Inch LCD (Black) (OLD MODEL)	Great camera	There is no question about the goodness of the camera. The product is as good as a new one (except for the warranty time). I trust this brand and if it's inspected and reconditioned from the factory, I rest my faith in it.
55	__label1__	4	Y	Wireless	B00V9QGFJO	Galaxy S6 Case : Stalion® [Hybrid Bumper Series] Shockproof Impact Resistance (Diamond Clear) Ultra Slim Fit with Diamond Clear Back + Raised Edges for Protection (for Samsung Galaxy S6 ONLY)	Easy to carry.	Love this case, it's very sleek and slides into your pocket perfectly. Every now and then my phone falls and it has protected it from those mishaps.
56	__label1__	4	N	Beauty	B00WRLGB7G	Beauty Facial Extreme - Maximum Strength Hair Regrowth Shampoo.	to being pretty excited about it	3 month ago, I found I have recently lost more hair than I used to be every time during shampooing my hair.  I have a thick hair but it seems looked a bit thinner now.Since then, I have been taking any steps that I can possibly to make my hair grow. And i know this product by my friend. After 2 weeks using, my hair has grown rapidly. I've gone from crying over my hair, to being pretty excited about it.
57	__label1__	3	N	PC	B004VM0SE6	Bamboo Stylus Pen for iPad & iPhone 4	Average stylus pen	This is a nice stylus although I prefer the 'SERENE STYLUS PEN" due to its small (4mm)nib tip for less screen obstruction. Its also very comfortable featuring its silicone grip. Check it out at  [...]
58	__label1__	1	N	PC	B003LNZ1L6	Wansview Wireless IP Pan/Tilt/ Night Vision Internet Surveillance Camera Built-in Microphone With Phone remote monitoring support(Black)	poor night vision	I bought this camera for its night vision which I have found to be very poor, if you are using this camera in low light it works well however in total darkness it doesn't work at all. I was also using night vision booster LEDs and it still did not work in total darkness.
59	__label1__	1	N	Books	1594203369	The Most Dangerous Book: The Battle for James Joyce's Ulysses	A Day in the Life of a Century	"Ulysses" Errata Once Penned<br /><br />"Ulysses" ruined spring for me, a day in the life of a century.<br /><br />Self-pleasuring made ominous, to sell books, an overt device.<br /><br />The "Anabasis" is far better a template, the Odyssey foreshadows earliest in the tale, fate.<br /><br />Leopold does not Bloom, a wife's infidelity, they barely share a bedroom.<br /><br />The most dangerous book is the tell-all coming up for publication. Those who have very pointed concerns about its release fret, sweat, run it through the mind until you have a collective of murderous revenge seekers.<br /><br />Virginia Woolf, Master Novelist, was right to dismiss James Joyce's work. It can only be a tepid ode to a Grecian epic poem.<br /><br />Chris Roberts, God Made Out Verticallybe found in all of Rodmell, or England for that matter.<br /><br />Once this is finished, I walk down to the river. At the water's edge I weigh myself down with stones, my very eyes in my pockets, and slip into the deep.<br /><br />Virginia Woolf, Chronicler of Life<br /><br />* And I, C.R. would add, Best Novelist of the 20th Century<br /><br />You are loved Virginia everywhere. James Joyce, not so much, if at all. A day in the life is a small view, excluding the other billions of lives per day.
60	__label1__	4	Y	Baby	B00XAWQN9W	Car Sun Shade (2 Pack) with static cling. Blocks Harmful UV Rays and protects against cancer + FREE carry bag + 4 FREE suction cups. Suitable for baby, car window, windshield, train and home	It is very helpful to keep the car cool for kids and protect them from heat of the ...	It is very helpful to keep the car cool for kids and protect them from heat of the sun while we travel.Easy to attach to the car windows and it really stuck there.
61	__label1__	1	N	Home	B00ORC2Z2S	Pure Enrichment PureSteam Fabric Steamer - White	Too Weak to Take Out Wrinkles!	Useless Christmas gift. Kept on trying to use it on different fabrics with no luck. Produces steam but not enough to do anything. Useless.
62	__label1__	1	N	Books	0670026255	T.C. Boyle Stories II: The Collected Stories of T. Coraghessan Boyle, Volume II	Books for Album Covers	J. D Salinger was righteous...<br /><br />Not in his scribblings, but in this case...<br /><br />No author photo...anywhere...on the book...<br /><br />On the cover especially, oh cover...<br /><br />This disastrous, forced T. C. Boyle pose...<br /><br />Fact, not fiction...<br /><br />The redhead is never the leading man...<br /><br />In moving pictures, still photography...<br /><br />Anti-hero, the step child...<br /><br />The somebody I don't want too see...<br /><br />Red blazer, black tee is all 80s...<br /><br />I suppose better off red, than dead...<br /><br />The font and manufactured stare...<br /><br />Scream bad album cover...<br /><br />Jesus Christ couldn't pull it off...<br /><br />But together we laugh...<br /><br />At T. C.<br /><br />And share a piece of bread...<br /><br />Get polluted on crushed wine...<br /><br />And we laugh some more...<br /><br />The young Jesus...<br /><br />Before the miracles, sermons...<br /><br />The Cross so far years away...<br /><br />We trip out on Led Zeppelin...<br /><br />Chris Roberts, God of Jesus Christ (The laughing Prophet)
63	__label1__	3	N	PC	B005FYNSZA	SanDisk Cruzer Fit CZ33 16GB USB 2.0 Low-Profile Flash Drive- SDCZ33-016G-B35	Not bad......	Pen Drive is very good in this budget, it works faster and no any problem yet, delivery was very fast.
64	__label1__	4	N	Health & Personal Care	B00K0TM8M4	L Carnitine Pure Essential Amino Acids Best Selling Supplement Promotes Fatty Acid Metabolism, Helps the Body Convert Food to Energy Providing Support for Endurance Exercise. 100% All Natural Non Gmo, GMP Certified, USA Made, 1000mg Daily!	Not what I expected	The product actually helped out in a lot of areas, particularly where my workout performance is concerned. But I was expecting it to burn fat. Maybe my research was wrong?
65	__label1__	1	N	PC	B00PJH5RNY	Singo 85W AC Power Supply Chargers & Adapter for Macbook Pro 15 or 17 Inch	SMOCKING HOT	This is a SMOKING HOT deal. This is the second unit in the last 2-3 weeks They work when you first plug them in but watch out. Somewhere between 1-5 charge cycles these things get so hot you can't touch them. Then they pop and smoke.....game over. No more charging.   The only reason I am giving this a 1 star is the returns have been easy. Reading all of the reviews it looks like about 1 in 3 are good chargers. I'm going to step up and pay the $$$$ for a real one this time.  Don't want to risk burning down the house over a $30 difference between junk and genuine Apple product. Yes it sucks but get yourself the real deal here http://www.amazon.vote/gp/product/B008ALAAV0
66	__label1__	4	N	Health & Personal Care	B00F2DM1OS	80% HCA Super Strength Garcinia Cambogia Extreme 180 Fast Acting Capsules. All Natural Appetite Suppressant and Weight Loss Supplement By Hamilton Healthcare up to 4500mg Per Day for Maximum Results	And the verdict is in	It really does work. I have been taking these for a month and a half and I have lost about 7 pounds. I am so happy that it works and that I have lost weight. I wanted to give it time before I wrote my review but it is totally worth trying!
